Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
Jumanji: Welcome to the Jungle,2017,.,.,7.5,.,9,7.5,7,8,8,6.5,5.5,.,7.5,.,6.5,.,7,.
Jungle,2017,7,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Kong Skull Island,2017,4,6.5,5,8,.,5,5,7,.,.,.,.,.,.,5.5,.,7,.
Lady Bird,2017,8.5,9,8.5,7,9,.,9,8,.,.,.,9,.,.,8,8,.,.
Lego Batman Movie,2017,3,3,5.5,8,8,4,4,6,8,6,6.5,.,.,.,7.5,.,7,.
Logan,2017,5,.,6.5,7,8,7,7.5,8,.,.,.,.,9,.,8.5,.,.,.
Logan Lucky,2017,4,5,5,5.5,7,7,6,.,4,.,.,.,.,.,.,.,.,.
Marshall,2017,4.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mollie’s Game,2017,6,6,8,8,7.5,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Mudbound,2017,7.5,8,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.
Murder on the Orient Express,2017,4.5,.,3,5,.,6,6,5,.,.,.,.,.,.,6.5,.,6,.
Paddington 2,2017,7.5,8,7,10,8,.,9.5,.,8,.,.,.,.,.,.,.,.,.
Phantom Thread,2017,8,7,8,8.5,9,.,9,.,.,.,.,7,.,.,.,.,.,.
Pirates: Dead Men Tell No Tales,2017,.,.,.,.,.,7,.,.,7,.,.,.,7.5,.,5,.,.,.
Pitch Perfect 3,2017,.,.,2,.,.,.,.,5.5,2,.,3.5,.,.,.,.,.,.,.
Spiderman Homecoming,2017,7.5,.,8,8.5,8.5,7.5,7,.,.,6,.,.,.,.,7,.,.,.
Star Wars: The Last Jedi,2017,7,7.5,7,9,9,8.5,9,7,8,8,8,8,9,.,9.5,.,.,.
Stronger,2017,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Big Sick,2017,7,8,8,8,.,.,8,8.5,8,7.5,8,8.5,.,.,.,.,.,.
The Darkest Hour,2017,7,7,6,7,6.5,8,8,8,.,.,.,7,.,.,.,.,.,.
The Disaster Artist,2017,.,.,6.5,5.5,7,.,6,.,.,.,.,.,.,.,.,.,.,.
The Florida Project,2017,7.5,8,8,9,9,.,4,.,.,.,.,.,.,.,.,.,.,.
The Glass Castle,2017,6.5,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Greatest Showman,2017,8.5,8,7.5,9,7,8,9,8.5,8,8,8.5,7.5,7,.,7.5,.,7,.
The Mountain Between Us,2017,.,.,5,.,.,5,.,.,.,.,.,.,.,.,6,.,.,.
The Mummy,2017,.,.,.,.,.,1,.,.,.,.,3,.,.,.,5,.,.,.
The Post,2017,9,7.5,7.5,8,7,7.5,6,8,.,.,8.5,5,.,.,.,.,7,.
The Shape of Water,2017,7,7.5,6,5,1,.,4,.,.,.,.,7,5,3,8,.,7,.
Thor: Ragnarok,2017,7,.,7.5,8.5,8,8,9,8.5,7,.,.,7,.,.,7.5,.,.,.
Thoroghbreds,2017,5.5,7,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Three Billboards,2017,7,7,8,7,8.5,7.5,8,.,.,.,.,8,.,.,.,.,.,.
Wind River,2017,7.5,6.5,7.5,5,,.,8,8,.,.,.,.,.,.,.,.,.,.
Wonder,2017,7.5,.,.,.,.,5,7,7.5,7,.,.,.,.,.,.,.,7,.
Wonder Woman,2017,5.5,5.5,8,8,7,8.5,9,6,7,5,.,7,.,.,.,.,.,.
You Were Never Really Here,2017,.,.,8,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
12 Strong,2018,.,.,.,.,5,.,.,7.5,.,.,.,.,.,.,.,.,.,.
A Quiet Place,2018,8.5,7.5,8,9,8.5,8.5,7,8,9,7.5,8,.,8.5,.,8.5,8.5,7,8.5
A Wrinkle in Time,2018,.,.,.,.,.,.,3.5,.,.,.,.,3,.,.,.,.,.,.
Adrift,2018,.,.,6,.,.,6,.,.,.,.,.,.,7,.,.,.,.,.
American Animals,2018,9,7.5,8.5,8.5,7.5,.,8.5,.,.,8.5,.,.,.,.,.,.,.,.
Annihilation,2018,7,7,7.5,7,7,6.5,8,.,.,8,7,.,.,.,8.5,.,.,.
