Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
Butt Boy,2019,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.
Dungeons & Dragons: Honor Among Thieves,2023,.,.,8,.,.,8,8.5,.,.,7.75,.,.,.,.,.,.,8,.
Air,2023,7.5,7,7.5,7.5,.,.,8.5,8.5,7,7,.,.,9,.,.,.,9.5,.
Showing Up,2023,.,.,8.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Renfield,2023,.,.,6,.,.,.,6,.,.,5,.,.,7.5,.,.,.,.,.
Navalny,2022,7.5,.,.,8.5,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Guy Ritchie’s The Covenant,2023,7.5,7,7.5,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
How to Blow Up a Pipeline,2023,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Beau is Afraid,2023,.,.,8,5.5,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Fall,2022,6,.,.,.,.,.,.,.,.,6.5,.,.,.,.,.,9,6,8.5
"Are You There God? It's Me, Margaret.",2023,8,9,8.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Guardians of the Galaxy Vol. 3,2023,.,.,7,7.5,.,6.5,7,5,7,.,.,.,.,.,.,.,.,.
Super Mario Bros. Movie,2023,6,.,.,.,.,6,6.5,7,7,6.5,.,.,7.5,.,.,.,6.5,.
BlackBerry,2023,.,.,8.5,8.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Spiderman: Across the Spider-Verse,2023,8,7.5,10,10,.,8,7,.,9,.,.,.,.,.,.,9,.,8.5
Past Lives,2023,8.5,9,8.5,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asteroid City,2023,.,.,7,7,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
The Flash,2023,.,.,5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Master Gardener,2023,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
No Hard Feelings,2023,.,.,7,7,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Indiana Jones and the Dial of Destiny,2023,6.5,7,7,7,.,7.5,8,.,7,7.25,.,.,.,.,.,7,7,7
Tommy Boy,1995,9,9,8.5,9,.,8,9,9,9,8,.,.,.,.,.,10,.,9.5
Living,2022,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Fast X,2023,.,.,2,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.
Wham!,2023,.,.,.,.,.,.,.,.,.,8.75,.,.,.,.,.,.,.,.
Mission: Impossible - Dead Reckoning Part 1,2023,7.5,7,8,9,.,7.5,7,.,.,.,.,.,.,.,.,8,8.5,8
See How They Run,2022,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Raiders of the Lost Ark,1981,10,9,10,10,.,10,9,9,10,9,.,.,.,.,.,.,9,9.5
Barbie,2023,8,8,8,9,.,6,7.5,.,7.5,6.5,.,.,8.5,.,.,.,7,.
Oppenheimer,2023,7.5,7,8.5,7,.,8,8.5,8.5,8,.,.,.,.,.,.,.,8.5,.
The Young Victoria,2009,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Marcel the Shell,2021,.,.,.,.,.,.,9.5,.,.,.,.,.,.,.,.,.,.,.
TMNT: Mutant Mayhem,2023,.,.,7.5,.,.,.,7.5,.,8,.,.,.,.,.,.,.,.,.
Blue Beetle,2023,.,.,6.5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Theater Camp,2023,.,.,4.5,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.
Joy Ride,2023,.,.,6.5,.,.,.,4.5,.,.,.,.,.,.,.,.,.,.,.
Crawl,2019,.,.,8,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.
Biosphere,2023,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Artifice Girl,2023,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Inside,2023,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.
A Man Called Otto,2022,.,.,.,.,.,6,7,.,6,.,.,.,7,.,.,.,.,.
Oldboy,2003,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,8,.
Jurassic Park,1993,9,9,9.5,9.5,.,.,9,9.5,9,9.5,.,.,.,.,.,.,9,.
Chevalier,2022,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
Hypnosis,2023,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.
Mission: Impossible II,2000,5,.,.,6,.,6,,4,.,.,.,.,.,.,.,.,.,.
Bottoms,2023,.,.,7.5,.,.,.,4.5,.,.,.,.,.,.,.,.,.,.,.
Equalizer 3,2023,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Magic Mike's Last Dance,2023,.,.,.,.,.,.,.,5.5,.,.,.,.,.,.,.,.,.,.
Tetris,2023,.,.,.,.,.,.,8,9,8.5,.,.,.,.,.,.,.,.,.
Polite Society,2023,.,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Dumb Money,2023,.,.,6.5,.,.,.,.,.,.,.,.,.,6.5,.,.,.,.,.
Stop Making Sense,1984 / 2023,.,.,10,9,.,.,9,.,.,9,.,.,.,.,.,.,.,.
No One Will Save You,2023,.,.,7.5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
A Million Miles Away,2023,.,.,.,8.5,.,8,8,.,.,.,.,.,.,.,.,.,.,.
The Creator,2023,.,.,7.5,8.5,.,8,7,.,.,.,.,.,.,.,.,.,.,.
Haunted Mansion,2023,.,.,.,.,.,.,7,.,.,.,.,.,7,.,.,.,5,.
Elemental,2023,.,.,.,.,.,5,6.5,.,.,.,.,.,.,.,.,.,.,.
Taylor Swift: The Eras Tour,2023,.,.,8,.,.,.,.,.,.,8,.,.,.,.,.,.,8,.
Killers of the Flower Moon,2023,9,8,9,8,.,.,8.5,.,.,.,.,.,.,.,.,.,7.5,.
The Royal Hotel,2023,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Totally Killer,2023,.,.,.,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
The Holdovers,2023,8.5,9,8.5,9,.,8.5,9,9,8.5,8.5,.,.,7.5,.,.,.,9.5,.
Bye Bye Barry,2023,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.
Sisu,2022,.,.,.,.,.,7,7,.,.,.,.,.,.,.,.,.,.,.
Dream Scenario,2023,.,.,8,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Napoleon,2023,6,6.5,6.5,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
The Killer,2023,.,.,8.5,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
May December,2023,.,.,8.5,7,.,.,.,.,.,.,.,.,.,.,.,.,7,.
Poor Things,2023,.,.,7.5,5.5,.,.,6,.,.,.,.,.,.,.,.,.,7,.
Leave the World Behind,2023,.,.,.,9,.,6.5,.,.,.,7.75,.,.,.,.,.,.,.,.
Daddy's Home 2,2017,4,5,.,.,.,7,5,.,.,.,.,.,7,.,.,.,.,5
Godzilla Minus One,2023,7,7.5,8,8,.,.,6,7.5,.,.,.,.,.,.,.,.,.,8
American Fiction,2023,7.5,7.5,7.5,.,.,.,8.5,.,.,7.75,.,.,.,.,.,.,10,.
Old Dads,2023,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.
Bad Santa,2003,.,.,.,.,.,.,.,.,.,7.25,.,.,.,.,.,.,.,.
Wonka,2023,5.5,7,7,7,.,8,8,.,8,8,.,.,.,.,.,7,.,5.5
The Iron Claw,2023,8.5,9,8.5,.,.,.,8.5,.,.,9,.,.,.,.,.,.,.,.
Sound of Freedom,2023,7.5,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
Ferrari,2023,.,.,7.5,6.5,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Maestro,2023,.,.,6,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Gran Turismo,2023,.,.,.,.,.,7,7,.,.,7,.,.,.,.,.,.,.,.
Saltburn,2023,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Maggie Moore(s),2023,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Anyone But You,2023,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Titanic,1997,9.5,8,9.5,9.5,.,9,7.5,9,8,.,.,.,.,.,.,9,.,8.5
The Last Repair Shop,2023,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.
The Teachers' Lounge,2023,.,.,8,9.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Talk to Me,2022,.,.,8,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Boys in the Boat,2023,.,.,.,.,.,8,.,8,.,.,.,.,.,.,.,.,.,.
Anatomy of a Fall,2023,7.5,.,8.5,8,.,.,.,.,.,.,.,.,.,.,.,.,7.5,.
The Notebook,2004,7,.,7,7,.,6,5,7,6,.,.,.,.,.,.,.,8.5,.
Groundhog Day,1993,10,9.5,10,10,.,9,9.5,9.5,9,9,.,.,.,.,.,.,9,9
The Zone of Interest,2023,.,.,9,9.5,.,9.5,8.5,.,.,6.75,.,.,.,.,.,.,8,.
Mission: Impossible III,2006,6,.,.,8.5,.,7,7.5,.,.,.,.,.,.,.,.,.,.,.
Society of the Snow,2023,.,.,8.5,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Drive Away Dolls,2024,.,.,.,5.5,.,.,4,.,.,.,.,.,.,.,.,.,.,.
Dune Part 2,2024,9,.,9,9.5,.,9,9.5,6.5,.,.,.,.,.,.,.,9,.,10
Spaceman,2024,.,.,5.5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
The Marvels,2023,.,.,.,.,.,.,4.5,.,.,.,.,.,.,.,.,.,.,.
Love Lies Bleeding,2024,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Aquaman and the Lost Kingdom,2023,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.
Road House,2024,.,.,4.5,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Problemista,2024,3.5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Train to Busan,2016,.,.,8,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.
The Thieves,2012,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Operation Chromite,2016,.,.,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.
A Haunting in Venice,2023,.,.,.,.,.,6,6.5,.,.,.,.,.,6.5,.,.,.,.,.
Exhuma,2024,.,.,.,.,.,.,.,.,.,6.5,.,.,.,.,.,.,.,.
The Natural,1984,9,.,9,9,.,8.5,9.5,.,.,.,.,.,.,.,.,.,9,.
Ghostbusters: Frozen Empire,2024,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Monkey Man,2024,.,.,7.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
How to Talk to Girls at Parties,2017,.,.,.,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Civil War,2024,8,.,8,8.5,.,.,7.5,.,.,.,.,.,.,.,.,.,8,.
A Taxi Driver,2017,8.5,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.
Heat,1995,9.5,.,10,10,.,10,10,.,.,8.75,.,.,.,.,.,.,.,.
Priscilla,2023,.,.,7,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Ministry of Ungentlemanly Warfare,2024,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hoosiers,1986,8,.,8.5,.,.,8,7.5,.,.,7.5,.,.,.,.,.,.,.,.
Challengers,2024,.,.,8.5,8.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
The Fall Guy,2024,.,.,7,.,.,7,6.5,5.5,.,7.75,.,.,.,.,.,.,.,.
The Idea of You,2024,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Kingdom of the Planet of the Apes,2024,.,.,7,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
That's My Boy,2012,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.
Hit Man,2024,7.5,7.5,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Phantom Menace,1999,5.5,.,6,6,.,5,.,.,.,6,.,.,.,.,.,.,.,3
Attack of the Clones,2002,4.5,.,.,4.5,.,.,.,.,.,5,.,.,.,.,.,.,.,4
Revenge of the Sith,2005,6,.,.,5,.,.,.,.,.,7,.,.,.,.,.,.,.,.
Mad Max: Furiosa,2024,8.5,.,9,9,.,.,9,9,.,9.25,.,.,.,.,.,.,9,7
The Other Guys,2010,.,.,.,.,.,7.5,8,.,.,7.75,.,.,.,.,.,.,9,.
Bad Boys: Ride or Die,2024,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Three Amigos!,1986,8,.,8,.,.,8,7.5,9,.,8,.,.,.,.,.,.,.,.
Unfrosted,2024,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.
Keanu,2016,.,.,.,.,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.
The Bikeriders,2024,.,.,7.5,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Horizon: chapter 1,2024,5.5,.,5.5,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
Maxxxine,2024,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
A Quiet Place: Day One,2024,5.5,.,.,.,.,6,6.5,6,.,.,.,.,.,.,.,.,.,.
Longlegs,2024,.,.,5.5,.,.,.,.,.,.,6.75,.,.,.,.,.,.,5.5,.
Tuesday,2024,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Bev Hills Cop: Axel F,2024,.,.,.,.,.,.,8,7.5,.,.,.,.,.,.,.,.,.,.
Twisters,2024,.,.,7.5,6,.,6,7,8,.,.,.,.,.,.,.,.,6.5,.
The Naked Gun,1988,8.5,.,9,.,.,.,9,.,.,9,.,.,.,.,.,.,.,8
Everybody Wants Some,2016,.,.,8.5,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Deadpool & Wolverine,2024,.,.,8,8.5,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Trap,2024,.,.,5.5,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.
Alien: Romulus,2024,.,.,7,7.5,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
Strange Darling,2024,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rebel Ridge,2024,8,.,8,7.5,.,7,.,.,.,.,.,.,.,.,.,.,.,.
The Substance,2024,.,.,9,8,.,.,8,.,.,9,.,.,.,.,.,.,8.5,.
Beetlejuice Beetlejuice,2024,3,5,.,.,.,7,7,.,.,.,.,.,.,.,.,.,.,.
Megalopolis,2024,.,.,3.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Joker 2,2024,.,.,3,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
It's What's Inside,2024,.,.,8.5,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.
My Old Ass,2024,8.5,9,8.5,8,.,.,9,.,.,.,.,.,.,.,.,.,.,.
LOLA,2023,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.
Wild Robot,2024,8,7,8,.,.,8,8.5,.,.,.,.,.,.,.,.,.,.,.
Saturday Night,2024,.,.,7,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Anora,2024,.,.,9,9,.,.,6,.,.,6,.,.,.,.,.,.,9.5,.
We Live In Time,2024,5.5,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Unfrosted,2024,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
Fly Me to the Moon,2024,.,.,.,.,.,7,7,.,.,.,.,.,.,.,.,.,.,.
I Am: Celine Dion,2024,.,.,.,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Conclave,2024,8,.,7.5,8,.,7.5,8.5,.,.,.,.,.,.,.,.,.,8.5,.
Hundreds of Beavers,2024,.,.,6,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
A Real Pain,2024,.,.,6.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Heretic,2024,2.5,5,6.5,7.5,.,.,6,.,.,7,.,.,.,.,.,.,6.5,.
Here,2024,.,.,8,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.
Emilia Perez,2024,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,6.5,.
The Patriot,2000,7.5,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,8
Gladiator II,2024,7,8,7,8,.,7.5,7.5,7.5,.,.,.,.,.,.,.,.,6.5,.
Wicked,2024,6,7.5,7.5,7.5,.,.,8.5,6,.,.,.,.,.,.,.,.,5,.
Red One,,.,.,.,.,.,4,5,2,.,.,.,.,.,.,.,.,.,.
Juror #2,2024,7,.,8,7.5,.,.,8.5,7.5,.,7,.,.,.,.,.,.,7.5,.
The Man Who Invented Christmas?,,6,.,.,.,.,7.5,6,.,.,.,.,.,.,.,.,.,.,.
That Christmas,,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
5-Sep,2024,.,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Flow,2024,.,.,9,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Paint,,.,.,.,.,.,6,6.5,.,.,.,.,.,.,.,.,.,.,.
A Complete Unknown,2024,6,6.5,8,8.5,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Carry-on,2024,.,.,7,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
I Saw the TV Glow,2024,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nosferatu,2024,.,.,8.5,8,.,.,5,.,.,8.5,.,.,.,.,.,.,8,.
Nickel Boys,2024,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Casa Bonita Mi Amor,2024,.,.,.,.,.,.,9.5,.,.,.,.,.,.,.,.,.,.,.
Ernest Saves Christmas,1988,.,.,.,.,.,.,.,.,.,5.5,.,.,.,.,.,.,.,.
Better Man,2024,.,.,8,.,.,.,8,8.5,.,.,.,.,.,.,.,.,.,.
Greyhound,2020,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,8,.
Den of Thieves 2: Pantera,2024,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Brutalist,2024,.,.,8,7,.,.,.,.,.,7,.,.,.,.,.,.,9,.
Argylle,,.,.,.,.,.,4,6,.,.,.,.,.,.,.,.,.,.,.
Ghosted,,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.
The Last Samurai,2003,8,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,7.5
Se7en,1995,8,6.5,9,9,.,8,7.5,.,.,9,.,.,.,.,.,.,9.5,.
Companion,2025,.,.,7.5,8,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Presence,2025,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Becoming Led Zeppelin,2025,.,.,8,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.
You're Cordially Invited,2025,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Paddington in Peru,2025,.,.,6.5,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
The Gorge,,.,.,5,.,.,7,6,.,.,.,.,.,.,.,.,.,.,.
The Pianist,2002,9,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.
Red Rooms,2024,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mickey 17,2025,4,5,5.5,.,.,.,5,.,.,7,.,.,.,.,.,.,.,.
Black Bag,2025,7.5,7.5,8,8.5,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
Last Breath,2025,.,.,7,7,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Novocaine,2025,.,.,6.5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.
Sing Sing,2024,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Warfare,2025,.,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sinners,2025,.,.,8.5,8.5,.,8,9,.,.,8.25,.,.,.,.,.,.,9.5,.
Thunderbolts*,2025,.,.,7.5,7.5,.,7,8,.,.,.,.,.,.,.,.,.,.,.
Friendship,2025,5,5,8,7.5,.,.,7,.,.,7.5,.,.,.,.,.,.,.,.
Mission: Impossible - The Final Reckoning,2025,7,6.5,7,6.5,.,.,7,7,.,7.5,.,.,.,.,.,7.5,8.5,.
The Phoenician Scheme,2025,.,.,6.5,8.5,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.
Set It Up,2018,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.
Ballerina,2025,.,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Materialists,2025,.,.,7,.,.,.,8.5,.,.,.,.,.,.,.,.,.,.,.
28 Years Later,2025,.,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Lord of the Rings: The War of the Rohirrim,2024,5,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.
Minecraft,2025,.,.,.,6,.,6,7.5,7.5,.,7,.,.,.,.,.,.,.,6.5
F1,2025,6.5,7,9,9,.,8,.,8,.,7,.,.,.,.,.,.,.,.
Jurassic World: Rebirth,2025,.,.,5.5,5,.,3,5.5,.,.,.,.,.,.,.,.,.,.,.
Superman,2025,.,.,6.5,7,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Eddington,2025,.,.,6.5,7,.,.,.,.,.,.,.,.,.,.,.,.,7,.
Fantastic 4,2025,.,.,7.5,7.5,.,6,7.5,.,.,.,.,.,.,.,.,.,.,.
Lone Survivor,,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Happy Gilmore 2,2025,4.5,.,5,.,.,4,.,6,.,7,.,.,.,.,.,.,.,6.5
The Naked Gun,2025,.,.,7.5,.,.,.,7,.,.,6.5,.,.,.,.,.,.,.,.
Together,2025,.,.,8,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Weapons,2025,.,.,8.5,8,.,.,7.5,.,.,8,.,.,.,.,.,.,8,.
Old Henry,,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Caught Stealing,,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Downton Abbey: The Grand Finale,2025,6,6,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.
Splitsville,2025,.,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Long Walk,2025,5.5,6,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Spinal Tap II,2025,.,.,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
One Battle After Another,2025,6.5,5,9,9.5,.,.,8,.,.,8,.,.,.,.,.,.,9.5,.
Tron: Ares,2025,.,.,7.5,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Frankenstein,2025,7,7,7.5,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
Bugonia,2025,.,.,8.5,8,.,.,7,.,.,.,.,.,.,.,.,.,.,.
It Was Just An Accident,2025,5.5,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Predator: Badlands,2025,.,.,8,.,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.
Bernie,2011,9,.,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Running Man,2025,.,.,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
Sentimental Value,2025,7,6.5,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Wicked: For Good,2025,4.5,7,.,6,.,4,5,6.5,.,.,.,.,.,.,.,.,.,5
Hamnet,2025,8.5,7.5,8,8,.,9,8.5,.,.,.,.,.,.,.,.,.,.,.
Train Dreams,2025,8,.,8,8.5,.,8,.,.,.,.,.,.,.,.,.,.,.,.
Wake Up Dead Man,2025,.,.,7.5,8,.,7,.,.,.,.,.,.,.,.,.,.,8,.
Avatar: Fire & Ash,2025,.,.,6.5,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.
Marty Supreme,2025,6,5,8,8.5,.,.,7.5,6.5,.,8.5,.,.,.,.,.,.,.,.
Empire of the Sun,1987,9.5,.,.,.,.,9.5,9.5,.,.,.,.,.,.,.,.,.,.,.
Anaconda,2025,.,.,5.5,.,.,.,.,2.5,.,.,.,.,.,.,.,.,.,.
Song Sung Blue,2025,.,.,6.5,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.
Eternity,2025,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
A House of Dynamite,2025,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,8.5,.
White Chicks,2004,.,.,.,.,.,.,.,7,.,7,.,.,.,.,.,.,.,.
No Other Choice,2025,7.5,7.5,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28 Years Later: The Bone Temple,2026,.,.,9,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Rip,2026,7,.,7,7.5,.,7,.,.,.,7,.,.,.,.,.,.,7,.
The Grand Budapest Hotel,2014,.,.,9,10,.,.,9,.,.,.,.,.,.,.,.,.,.,.
The Testament of Ann Lee,2025,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Send Help,2026,5.5,6,7.5,.,.,.,.,.,.,6.5,.,.,.,.,.,.,.,.
Mountainhead,2025,.,.,.,7,.,.,7.5,.,.,.,.,.,.,.,.,.,7,.
Crime 101,2026,.,.,6,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
Nirvanna the Band the Show the Movie,2026,9,8,9,9,.,.,.,.,.,8.5,.,.,.,.,.,.,9,.
The Bride!,2026,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,.
EPiC: Elvis Presley in Concert,2026,.,.,.,.,.,.,.,.,.,8.75,.,.,.,.,.,.,.,.
If I Had Legs I'd Kick You,2025,.,.,.,6.5,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Project Hail Mary,2026,8,8,8,7.5,.,9,.,.,.,8,.,.,.,.,.,.,6,.
The Drama,2026,8.5,8,8,.,.,.,.,.,.,.,.,.,.,.,.,8.5,.,.
Mid90s,,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.
Top Gun,1986,.,.,.,.,.,.,.,.,.,6.75,.,.,.,.,.,.,.,.
The Devil Wears Prada 2,2026,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Obsession,2026,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Jack Ryan: Ghost War,2026,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.
The Sheep Detectives,2026,8,.,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Backrooms,2026,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
